[-0.07254214] [-0.24141725] 
[-0.11410614] [-0.3805014] 
[-0.13841794] [-0.45652527] 
[-0.14692327] [-0.47090191] 
[-0.15027985] [-0.47548302] 
[-0.15025813] [-0.4786969] 
[-0.15544933] [-0.47082462] 
[-0.14852757] [-0.4694158] 
[-0.15095835] [-0.45841633] 
[-0.15335406] [-0.45477449] 
[-0.15461902] [-0.44891094] 
[-0.15663408] [-0.44569853] 
[-0.15388146] [-0.44273464] 
[-0.15853534] [-0.43940797] 
[-0.15663149] [-0.43394546] 
[-0.15783428] [-0.44187266] 
[-0.15968534] [-0.43975004] 
[-0.16025054] [-0.45058939] 
[-0.16583289] [-0.44706384] 
[-0.16809878] [-0.44466605] 
[-0.16892771] [-0.44794963] 
[-0.16626655] [-0.45036718] 
[-0.16656793] [-0.45786767] 
[-0.1682722] [-0.45349345] 
[-0.16979965] [-0.45926315] 
[-0.17010018] [-0.47014567] 
[-0.16902799] [-0.47081621] 
[-0.17101244] [-0.47589451] 
[-0.17268121] [-0.4788137] 
[-0.16870885] [-0.48502778] 
[-0.1739174] [-0.48974309] 
[-0.16986614] [-0.49410225] 
[-0.16910553] [-0.49182816] 
[-0.17032129] [-0.49395957] 
[-0.17361877] [-0.50264322] 
[-0.16889888] [-0.50612724] 
[-0.16389158] [-0.51399952] 
[-0.16481302] [-0.51034806] 
[-0.16477924] [-0.51541027] 
[-0.16497558] [-0.5212848] 
[-0.15816407] [-0.52035491] 
[-0.16204237] [-0.52467272] 
[-0.16037135] [-0.52957545] 
[-0.15620113] [-0.53076726] 
[-0.15538745] [-0.53201613] 
[-0.15331204] [-0.53806452] 
[-0.1497916] [-0.54202056] 
[-0.14923256] [-0.54250668] 
[-0.14638214] [-0.54911417] 
[-0.14427562] [-0.55072658] 
[-0.14225039] [-0.55025698] 
[-0.13655154] [-0.5570475] 
[-0.13816304] [-0.55321623] 
[-0.13993465] [-0.56571066] 
[-0.13165506] [-0.57076567] 
[-0.12833334] [-0.56629224] 
[-0.12992862] [-0.56992628] 
[-0.12259003] [-0.5707321] 
[-0.12649787] [-0.57617053] 
[-0.12616599] [-0.58003103] 
[-0.10171371] [-0.49076145] 
[-0.13168385] [-0.67061695] 
[-0.12351559] [-0.64829809] 
[-0.11419076] [-0.62200244] 
[-0.10907687] [-0.60530973] 
[-0.11105275] [-0.5982519] 
[-0.10632468] [-0.60644326] 
[-0.10186504] [-0.59649429] 
[-0.1007907] [-0.60949177] 
[-0.09600497] [-0.60461429] 
[-0.09518975] [-0.60484688] 
[-0.0935101] [-0.6148619] 
[-0.08957963] [-0.61298219] 
[-0.08512744] [-0.61472348] 
[-0.08971749] [-0.6197014] 
[-0.08110985] [-0.62332815] 
[-0.07820232] [-0.62606761] 
[-0.07528288] [-0.62168111] 
[-0.07623987] [-0.62729372] 
[-0.06757339] [-0.6305919] 
[-0.06878038] [-0.62443785] 
[-0.06311376] [-0.62728964] 
[-0.05932213] [-0.63255274] 
[-0.05829982] [-0.63091002] 
[-0.05622508] [-0.63210039] 
[-0.05256316] [-0.63223029] 
[-0.04958302] [-0.63259335] 
[-0.04888407] [-0.63156] 
[-0.04848335] [-0.63021796] 
[-0.03892026] [-0.63716344] 
[-0.03816087] [-0.63830325] 
[-0.03638906] [-0.63104467] 
[-0.03521257] [-0.63639787] 
[-0.02959924] [-0.63513811] 
[-0.02852768] [-0.63663969] 
[-0.02318789] [-0.64144632] 
[-0.02468315] [-0.63856301] 
[-0.01859626] [-0.63906638] 
[-0.0158653] [-0.63838017] 
[-0.01933048] [-0.63988058] 
[-0.01339263] [-0.63815119] 
[-0.01051256] [-0.64215063] 
[-0.01068013] [-0.63299535] 
[-0.00814691] [-0.64573624] 
[-0.00583073] [-0.63790239] 
[-0.00511155] [-0.64231388] 
[-0.00584276] [-0.64192322] 
[-0.00019531] [-0.64156601] 
[0.00082707] [-0.64075015] 
[0.00238685] [-0.65425832] 
[0.00700323] [-0.6397804] 
[0.00693225] [-0.6357735] 
[0.00334505] [-0.63872289] 
[0.00784559] [-0.64114842] 
[0.01482219] [-0.64142487] 
[0.01681473] [-0.63940047] 
[0.00811163] [-0.63157068] 
[0.01200754] [-0.63569761] 
[0.02185532] [-0.63324133] 
[0.02083235] [-0.63845842] 
[0.01901657] [-0.62846932] 
[0.01775263] [-0.63029512] 
[0.01908176] [-0.62828117] 
[0.02707051] [-0.62910942] 
[0.02213457] [-0.63301298] 
[0.02912105] [-0.63627117] 
[0.03000305] [-0.63390236] 
[0.03547083] [-0.63064308] 
[0.02137877] [-0.63185004] 
[0.02725824] [-0.63258509] 
[0.02889302] [-0.63298299] 
[0.03192531] [-0.63288322] 
[0.02982312] [-0.63127537] 
[0.03451134] [-0.6342756] 
[0.03209422] [-0.6370722] 
[0.03397354] [-0.63068287] 
[0.03363083] [-0.63314098] 
[0.03877113] [-0.63235533] 
[0.03811371] [-0.63848139] 
[0.03021099] [-0.63961968] 
[0.03137182] [-0.63507314] 
[0.03587009] [-0.63369552] 
[0.03379287] [-0.6370149] 
[0.02857708] [-0.63385042] 
[0.03157582] [-0.63428012] 
[0.03048892] [-0.6385101] 
[0.02295133] [-0.62825784] 
[0.02468844] [-0.63891627] 
[0.02687313] [-0.63637197] 
[0.01952905] [-0.63585067] 
[0.01782847] [-0.64592474] 
[0.01764879] [-0.64178305] 
[0.01783415] [-0.63132597] 
[0.01594744] [-0.64795543] 
[0.02098634] [-0.64549978] 
[0.00714496] [-0.6432477] 
[0.01172158] [-0.64434431] 
[-0.0069019] [-0.64469416] 
[0.00120986] [-0.6377034] 
[0.00239161] [-0.64638119] 
[-0.00968416] [-0.63978058] 
[-0.00730965] [-0.64006687] 
[-0.01376175] [-0.65102573] 
[-0.02278511] [-0.64454401] 
[-0.01547297] [-0.64451903] 
[-0.02209165] [-0.63156108] 
[-0.01455524] [-0.63759219] 
[-0.0289262] [-0.64080848] 
[-0.02590037] [-0.64110855] 
[-0.03215748] [-0.64350932] 
[-0.03528272] [-0.61926575] 
[-0.04187938] [-0.6258245] 
[-0.04928882] [-0.64354422] 
[-0.0418035] [-0.63291184] 
[-0.05304199] [-0.63414239] 
[-0.05641976] [-0.63616643] 
[-0.05589806] [-0.6424871] 
[-0.0728744] [-0.64101698] 
[-0.0634928] [-0.64092352] 
[-0.06834082] [-0.63715213] 
[-0.07403329] [-0.63822808] 
[-0.08568734] [-0.64101921] 
[-0.07717577] [-0.64102196] 
[-0.07956539] [-0.64579092] 
[-0.07720361] [-0.63879102] 
[-0.09199365] [-0.63774381] 
[-0.07018239] [-0.64190461] 
[-0.09502031] [-0.63409793] 
[-0.10237412] [-0.63287869] 
[-0.07229269] [-0.63558897] 
[-0.09020486] [-0.63938494] 
[-0.08437794] [-0.63459892] 
[-0.07662415] [-0.64349455] 
[-0.10019453] [-0.63314637] 
[-0.07805714] [-0.63717842] 
[-0.07611724] [-0.64305159] 
[-0.07068353] [-0.62851104] 
[-0.07751668] [-0.63238564] 
[-0.08444841] [-0.63901382] 
[-0.02772721] [-0.63858444] 
[-0.04444738] [-0.6323735] 
[-0.04528311] [-0.63510728] 
[-0.00176269] [-0.53600048] 
[0.02209034] [-0.72487122] 
[0.02144164] [-0.69477629] 
[0.08109256] [-0.66621346] 
[0.14288505] [-0.65000156] 
[0.14680633] [-0.63711042] 
[0.2138496] [-0.6398689] 
[0.28964472] [-0.63148967] 
[0.38185541] [-0.63616899] 
[0.48717102] [-0.63077346] 
[0.71081849] [-0.63382754] 
[1.01244014] [-0.63315952] 
[1.51113899] [-0.63136179] 
[2.11759101] [-0.62440273] 
[3.27840388] [-0.61208959] 
